Loading repository data...
Warning: Repository 'openSUSE-Leap-42.1-Update' appears to be outdated. Consider using a different mirror or server.
Reading installed packages...

S | Name                                                   | Summary                                                                            | Type       
i | gtk3-metatheme-adwaita                                 | Adwaita GNOME Theme -- GTK+ 3 Support                                              | package    
  | gtk3-metatheme-ambiance                                | Ambiance Gtk Theme -- GTK+ 3 Support                                               | package    
  | gtk3-metatheme-ambiant-mate                            | Ambiant-MATE Gtk Theme -- GTK+ 3 Support                                           | package    
  | gtk3-metatheme-arc                                     | Arc GTK+3 Theme                                                                    | package    
  | gtk3-metatheme-bluebird                                | A Clean Minimalistic Theme for GNOME, XFCE, GTK+ 2 and 3 -- GTK+ 3 Support         | package    
  | gtk3-metatheme-breeze                                  | GTK+ theme matching KDE's Breeze -- GTK+ 3 Support                                 | package    
  | gtk3-metatheme-elementary                              | The elementary GTK Theme -- GTK+ 3 Support                                         | package    
  | gtk3-metatheme-greybird                                | A Clean Minimalistic Theme for GNOME, XFCE, GTK+ 2 and 3 -- GTK+ 3 Support         | package    
  | gtk3-metatheme-numix                                   | Numix GTK+3 Theme                                                                  | package    
  | gtk3-metatheme-radiance                                | Radiance Gtk Theme -- GTK+ 3 Support                                               | package    
  | gtk3-metatheme-radiant-mate                            | Radiant-MATE Gtk Theme -- GTK+ 3 Support                                           | package    
  | gtk3-metatheme-vertex                                  | Vertex GTK+3 Theme                                                                 | package    
  | gtk3-metatheme-yuyo                                    | Yuyo Gtk Theme -- GTK+ 3 Support                                                   | package    
  | gtk3-theme-oxygen                                      | Oxygen GTK 3.x Theme                                                               | package    
i | gtk3-tools                                             | The GTK+ toolkit library (version 3) -- Tools                                      | package    
i | gtk3-tools-32bit                                       | The GTK+ toolkit library (version 3) -- Tools                                      | package    
  | gtkam                                                  | A GTK Digital Camera Tool                                                          | package    
  | gtkam                                                  | A GTK Digital Camera Tool                                                          | srcpackage 
  | gtkam-debuginfo                                        | Debug information for package gtkam                                                | package    
  | gtkam-debugsource                                      | Debug sources for package gtkam                                                    | package    
  | gtkam-doc                                              | Documentation for gtkcam                                                           | package    
  | gtkam-lang                                             | Languages for package gtkam                                                        | package    
  | gtkglarea2                                             | An OpenGL Widget for GTK+                                                          | srcpackage 
  | gtkglarea2                                             | An OpenGL Widget for GTK+                                                          | package    
  | gtkglarea2-debugsource                                 | Debug sources for package gtkglarea2                                               | package    
  | gtkglarea2-devel                                       | Development files for gtkglarea                                                    | package    
  | gtkglext-devel                                         | OpenGL Extension to GTK                                                            | package    
  | gtkglext-doc                                           | Documentation of the OpenGL Extension to GTK                                       | package    
  | gtkhtml                                                | Lightweight HTML rendering/printing/editing engine                                 | srcpackage 
  | gtkhtml-4_0-lang                                       | Languages for package gtkhtml                                                      | package    
  | gtkhtml-devel                                          | Lightweight HTML rendering/printing/editing engine -- Development Files            | package    
  | gtkimageview-devel                                     | Library providing an advanced widget for GdkPixbuf - Development Files             | package    
  | gtkiterm                                               | Internationalized Terminal Emulator for GTK                                        | package    
  | gtkmm2-devel                                           | C++ Interface for GTK2 (a GUI library for X)                                       | package    
  | gtkmm2-tutorial                                        | C++ Bindings for GTK+ -- Tutorial                                                  | package    
  | gtkmm2-tutorial-lang                                   | Languages for package gtkmm2-documentation                                         | package    
i | gtkmm3-devel                                           | C++ Interface for GTK3 (a GUI library for X)                                       | package    
i | gtkmm3-doc                                             | C++ Interface for GTK3 (a GUI Library for X)                                       | package    
i | gtkmm3-tutorial                                        | C++ Bindings for GTK+ -- Tutorial                                                  | package    
i | gtkmm3-tutorial-lang                                   | Languages for package gtkmm-documentation                                          | package    
  | gtkparasite                                            | GTK+ debugging tool similar to Firebug                                             | package    
  | gtkpod                                                 | A platform independent GUI for the Apple® iPod®                                    | package    
  | gtkpod                                                 | Manage music, video and photos on an Apple iPod                                    | application
  | gtkpod-devel                                           | A platform independent GUI for the Apple® iPod® - Development Files                | package    
  | gtkpod-lang                                            | Languages for package gtkpod                                                       | package    
i | gtksourceview-devel                                    | GTK+ Source Editing Widget                                                         | package    
i | gtksourceview-lang                                     | Languages for package gtksourceview                                                | package    
  | gtksourceview18                                        | GTK+ 2.0 Source Editing Widget                                                     | package    
  | gtksourceview18-devel                                  | GTK+ 2.0 Source Editing Widget                                                     | package    
  | gtksourceview18-doc                                    | Additional Package Documentation.                                                  | package    
  | gtksourceview2-devel                                   | GTK+ Source Editing Widget                                                         | package    
